Education,Title,Company_Size,Gender,min_salary,max_salary,avg_salary
Doctoral degree,Data Scientist,"> 10,000 employees",Male,500000,500000,500000.0
Doctoral degree,Data Scientist,"1000-9,999 employees",Male,500000,500000,500000.0
Doctoral degree,Data Scientist,0-49 employees,Male,500000,500000,500000.0
Doctoral degree,Product/Project Manager,"> 10,000 employees",Male,500000,500000,500000.0
Doctoral degree,Business Analyst,"1000-9,999 employees",Male,500000,500000,500000.0
Doctoral degree,Statistician,"1000-9,999 employees",Male,500000,500000,500000.0
Doctoral degree,Statistician,0-49 employees,Male,500000,500000,500000.0
Doctoral degree,Software Engineer,"> 10,000 employees",Male,500000,500000,500000.0
Doctoral degree,Other,"> 10,000 employees",Male,500000,500000,500000.0
Master's degree,Data Scientist,"> 10,000 employees",Male,500000,500000,500000.0
Master's degree,Business Analyst,"> 10,000 employees",Male,500000,500000,500000.0
Master's degree,Software Engineer,"> 10,000 employees",Male,500000,500000,500000.0
Master's degree,Software Engineer,"1000-9,999 employees",Male,500000,500000,500000.0
Master's degree,Other,"1000-9,999 employees",Male,500000,500000,500000.0
Bachelor's degree,Product/Project Manager,"1000-9,999 employees",Male,500000,500000,500000.0
Bachelor's degree,Product/Project Manager,0-49 employees,Male,500000,500000,500000.0
Bachelor's degree,Other,50-249 employees,Male,500000,500000,500000.0
Bachelor's degree,Other,0-49 employees,Male,500000,500000,500000.0
Professional degree,Research Scientist,"> 10,000 employees",Male,500000,500000,500000.0
Professional degree,Other,"> 10,000 employees",Self Describe,500000,500000,500000.0
I prefer not to answer,Business Analyst,"1000-9,999 employees",Male,500000,500000,500000.0
Doctoral degree,Research Scientist,"> 10,000 employees",Male,300000,500000,400000.0
Doctoral degree,Research Scientist,"1000-9,999 employees",Male,300000,500000,400000.0
Doctoral degree,Research Scientist,250-999 employees,Male,300000,500000,400000.0
Doctoral degree,Research Scientist,50-249 employees,Female,300000,500000,400000.0
Doctoral degree,Research Scientist,0-49 employees,Male,300000,500000,400000.0
Doctoral degree,Data Scientist,"> 10,000 employees",Male,300000,500000,400000.0
Doctoral degree,Data Scientist,"> 10,000 employees",Female,300000,500000,400000.0
Doctoral degree,Data Scientist,"1000-9,999 employees",Male,300000,500000,400000.0
Doctoral degree,Data Scientist,250-999 employees,Male,300000,500000,400000.0
Doctoral degree,Data Scientist,0-49 employees,Male,300000,500000,400000.0
Doctoral degree,Data Engineer,"> 10,000 employees",Male,300000,500000,400000.0
Doctoral degree,Software Engineer,"1000-9,999 employees",Male,300000,500000,400000.0
Doctoral degree,Software Engineer,50-249 employees,Male,300000,500000,400000.0
Doctoral degree,Other,"> 10,000 employees",Male,300000,500000,400000.0
Doctoral degree,Other,"1000-9,999 employees",Male,300000,500000,400000.0
Doctoral degree,Other,250-999 employees,Female,300000,500000,400000.0
Doctoral degree,Other,50-249 employees,Male,300000,500000,400000.0
Master's degree,Research Scientist,"> 10,000 employees",Male,300000,500000,400000.0
Master's degree,Research Scientist,50-249 employees,Male,300000,500000,400000.0
Master's degree,Data Scientist,"1000-9,999 employees",Male,300000,500000,400000.0
Master's degree,Data Scientist,0-49 employees,Male,300000,500000,400000.0
Master's degree,Product/Project Manager,250-999 employees,Male,300000,500000,400000.0
Master's degree,Product/Project Manager,50-249 employees,Male,300000,500000,400000.0
Master's degree,Product/Project Manager,0-49 employees,Male,300000,500000,400000.0
Master's degree,Business Analyst,"> 10,000 employees",Male,300000,500000,400000.0
Master's degree,Data Analyst,"1000-9,999 employees",Male,300000,500000,400000.0
Master's degree,Data Engineer,"1000-9,999 employees",Male,300000,500000,400000.0
Master's degree,Data Engineer,0-49 employees,Male,300000,500000,400000.0
Master's degree,Software Engineer,"> 10,000 employees",Male,300000,500000,400000.0
Master's degree,Software Engineer,"> 10,000 employees",Not Mentioned,300000,500000,400000.0
Master's degree,Other,"> 10,000 employees",Male,300000,500000,400000.0
Master's degree,Other,"1000-9,999 employees",Male,300000,500000,400000.0
Master's degree,Other,"1000-9,999 employees",Female,300000,500000,400000.0
Master's degree,Other,250-999 employees,Male,300000,500000,400000.0
Master's degree,Other,50-249 employees,Male,300000,500000,400000.0
Bachelor's degree,Data Scientist,"> 10,000 employees",Male,300000,500000,400000.0
Bachelor's degree,Software Engineer,"> 10,000 employees",Male,300000,500000,400000.0
Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,300000,500000,400000.0
Bachelor's degree,Software Engineer,50-249 employees,Male,300000,500000,400000.0
Bachelor's degree,Other,50-249 employees,Male,300000,500000,400000.0
Bachelor's degree,Other,0-49 employees,Male,300000,500000,400000.0
Some college/university,Data Scientist,0-49 employees,Male,300000,500000,400000.0
Doctoral degree,Research Scientist,"> 10,000 employees",Male,250000,299999,274999.5
Doctoral degree,Data Scientist,"> 10,000 employees",Male,250000,299999,274999.5
Doctoral degree,Data Scientist,"1000-9,999 employees",Male,250000,299999,274999.5
Doctoral degree,Data Scientist,50-249 employees,Male,250000,299999,274999.5
Doctoral degree,Data Analyst,"> 10,000 employees",Male,250000,299999,274999.5
Doctoral degree,Other,0-49 employees,Male,250000,299999,274999.5
Master's degree,Research Scientist,"1000-9,999 employees",Female,250000,299999,274999.5
Master's degree,Data Scientist,"> 10,000 employees",Male,250000,299999,274999.5
Master's degree,Data Scientist,"1000-9,999 employees",Male,250000,299999,274999.5
Master's degree,Data Scientist,50-249 employees,Male,250000,299999,274999.5
Master's degree,Data Scientist,0-49 employees,Male,250000,299999,274999.5
Master's degree,Business Analyst,250-999 employees,Male,250000,299999,274999.5
Master's degree,Business Analyst,0-49 employees,Female,250000,299999,274999.5
Master's degree,Data Analyst,"> 10,000 employees",Male,250000,299999,274999.5
Master's degree,Data Engineer,"> 10,000 employees",Male,250000,299999,274999.5
Master's degree,Data Engineer,0-49 employees,Male,250000,299999,274999.5
Master's degree,Software Engineer,"> 10,000 employees",Male,250000,299999,274999.5
Master's degree,Other,"> 10,000 employees",Male,250000,299999,274999.5
Master's degree,Other,"1000-9,999 employees",Male,250000,299999,274999.5
Bachelor's degree,Data Scientist,"> 10,000 employees",Male,250000,299999,274999.5
Bachelor's degree,Data Scientist,0-49 employees,Male,250000,299999,274999.5
Bachelor's degree,Product/Project Manager,"> 10,000 employees",Male,250000,299999,274999.5
Bachelor's degree,Product/Project Manager,50-249 employees,Male,250000,299999,274999.5
Bachelor's degree,Software Engineer,"> 10,000 employees",Male,250000,299999,274999.5
Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,250000,299999,274999.5
Bachelor's degree,Software Engineer,250-999 employees,Male,250000,299999,274999.5
Bachelor's degree,Other,"> 10,000 employees",Male,250000,299999,274999.5
Professional degree,Data Scientist,"> 10,000 employees",Male,250000,299999,274999.5
High School,Software Engineer,0-49 employees,Male,250000,299999,274999.5
Doctoral degree,Research Scientist,"> 10,000 employees",Male,200000,249999,224999.5
Doctoral degree,Research Scientist,"1000-9,999 employees",Male,200000,249999,224999.5
Doctoral degree,Research Scientist,50-249 employees,Male,200000,249999,224999.5
Doctoral degree,Research Scientist,0-49 employees,Male,200000,249999,224999.5
Doctoral degree,Data Scientist,"> 10,000 employees",Male,200000,249999,224999.5
Doctoral degree,Data Scientist,"1000-9,999 employees",Male,200000,249999,224999.5
Doctoral degree,Data Scientist,250-999 employees,Male,200000,249999,224999.5
Doctoral degree,Data Scientist,0-49 employees,Male,200000,249999,224999.5
Doctoral degree,Statistician,0-49 employees,Male,200000,249999,224999.5
Doctoral degree,Software Engineer,"1000-9,999 employees",Female,200000,249999,224999.5
Doctoral degree,Other,"> 10,000 employees",Male,200000,249999,224999.5
Doctoral degree,Other,"> 10,000 employees",Not Mentioned,200000,249999,224999.5
Doctoral degree,Other,"1000-9,999 employees",Male,200000,249999,224999.5
Doctoral degree,Other,50-249 employees,Not Mentioned,200000,249999,224999.5
Master's degree,Research Scientist,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Research Scientist,"> 10,000 employees",Not Mentioned,200000,249999,224999.5
Master's degree,Data Scientist,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Data Scientist,"> 10,000 employees",Female,200000,249999,224999.5
Master's degree,Data Scientist,"> 10,000 employees",Not Mentioned,200000,249999,224999.5
Master's degree,Data Scientist,"1000-9,999 employees",Male,200000,249999,224999.5
Master's degree,Data Scientist,"1000-9,999 employees",Female,200000,249999,224999.5
Master's degree,Data Scientist,250-999 employees,Male,200000,249999,224999.5
Master's degree,Data Scientist,50-249 employees,Male,200000,249999,224999.5
Master's degree,Data Scientist,50-249 employees,Not Mentioned,200000,249999,224999.5
Master's degree,Data Scientist,0-49 employees,Male,200000,249999,224999.5
Master's degree,Product/Project Manager,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Product/Project Manager,"1000-9,999 employees",Male,200000,249999,224999.5
Master's degree,Statistician,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Statistician,"> 10,000 employees",Female,200000,249999,224999.5
Master's degree,Data Analyst,"1000-9,999 employees",Male,200000,249999,224999.5
Master's degree,Data Engineer,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Data Engineer,0-49 employees,Male,200000,249999,224999.5
Master's degree,DBA/Database Engineer,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Software Engineer,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Software Engineer,"> 10,000 employees",Female,200000,249999,224999.5
Master's degree,Software Engineer,"1000-9,999 employees",Male,200000,249999,224999.5
Master's degree,Software Engineer,"1000-9,999 employees",Female,200000,249999,224999.5
Master's degree,Software Engineer,50-249 employees,Male,200000,249999,224999.5
Master's degree,Software Engineer,0-49 employees,Male,200000,249999,224999.5
Master's degree,Other,"> 10,000 employees",Male,200000,249999,224999.5
Master's degree,Other,"1000-9,999 employees",Male,200000,249999,224999.5
Master's degree,Other,50-249 employees,Female,200000,249999,224999.5
Master's degree,Other,0-49 employees,Male,200000,249999,224999.5
Bachelor's degree,Research Scientist,"> 10,000 employees",Male,200000,249999,224999.5
Bachelor's degree,Data Scientist,"> 10,000 employees",Male,200000,249999,224999.5
Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,200000,249999,224999.5
Bachelor's degree,Data Scientist,50-249 employees,Male,200000,249999,224999.5
Bachelor's degree,Data Scientist,0-49 employees,Male,200000,249999,224999.5
Bachelor's degree,Product/Project Manager,"> 10,000 employees",Male,200000,249999,224999.5
Bachelor's degree,Product/Project Manager,"1000-9,999 employees",Male,200000,249999,224999.5
Bachelor's degree,Product/Project Manager,0-49 employees,Male,200000,249999,224999.5
Bachelor's degree,Data Analyst,"> 10,000 employees",Male,200000,249999,224999.5
Bachelor's degree,Data Engineer,"> 10,000 employees",Male,200000,249999,224999.5
Bachelor's degree,Software Engineer,"> 10,000 employees",Male,200000,249999,224999.5
Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,200000,249999,224999.5
Bachelor's degree,Software Engineer,250-999 employees,Male,200000,249999,224999.5
Bachelor's degree,Software Engineer,50-249 employees,Male,200000,249999,224999.5
Bachelor's degree,Software Engineer,0-49 employees,Male,200000,249999,224999.5
Bachelor's degree,Other,"> 10,000 employees",Male,200000,249999,224999.5
Bachelor's degree,Other,0-49 employees,Male,200000,249999,224999.5
Professional degree,Research Scientist,0-49 employees,Male,200000,249999,224999.5
Professional degree,Data Scientist,50-249 employees,Male,200000,249999,224999.5
Professional degree,DBA/Database Engineer,"> 10,000 employees",Male,200000,249999,224999.5
Professional degree,Software Engineer,"> 10,000 employees",Male,200000,249999,224999.5
Professional degree,Other,"> 10,000 employees",Male,200000,249999,224999.5
Professional degree,Other,"> 10,000 employees",Female,200000,249999,224999.5
Some college/university,Data Scientist,"> 10,000 employees",Male,200000,249999,224999.5
Some college/university,Data Engineer,250-999 employees,Male,200000,249999,224999.5
Some college/university,Software Engineer,50-249 employees,Not Mentioned,200000,249999,224999.5
Some college/university,Other,50-249 employees,Male,200000,249999,224999.5
Some college/university,Other,0-49 employees,Male,200000,249999,224999.5
Doctoral degree,Research Scientist,"> 10,000 employees",Male,150000,199999,174999.5
Doctoral degree,Research Scientist,"1000-9,999 employees",Male,150000,199999,174999.5
Doctoral degree,Research Scientist,"1000-9,999 employees",Female,150000,199999,174999.5
Doctoral degree,Research Scientist,250-999 employees,Male,150000,199999,174999.5
Doctoral degree,Research Scientist,50-249 employees,Male,150000,199999,174999.5
Doctoral degree,Research Scientist,50-249 employees,Female,150000,199999,174999.5
Doctoral degree,Research Scientist,0-49 employees,Male,150000,199999,174999.5
Doctoral degree,Data Scientist,"> 10,000 employees",Male,150000,199999,174999.5
Doctoral degree,Data Scientist,"> 10,000 employees",Female,150000,199999,174999.5
Doctoral degree,Data Scientist,"1000-9,999 employees",Male,150000,199999,174999.5
Doctoral degree,Data Scientist,"1000-9,999 employees",Female,150000,199999,174999.5
Doctoral degree,Data Scientist,250-999 employees,Male,150000,199999,174999.5
Doctoral degree,Data Scientist,250-999 employees,Female,150000,199999,174999.5
Doctoral degree,Data Scientist,50-249 employees,Male,150000,199999,174999.5
Doctoral degree,Data Scientist,50-249 employees,Female,150000,199999,174999.5
Doctoral degree,Data Scientist,0-49 employees,Male,150000,199999,174999.5
Doctoral degree,Data Scientist,0-49 employees,Female,150000,199999,174999.5
Doctoral degree,Product/Project Manager,"1000-9,999 employees",Male,150000,199999,174999.5
Doctoral degree,Product/Project Manager,0-49 employees,Male,150000,199999,174999.5
Doctoral degree,Statistician,"> 10,000 employees",Male,150000,199999,174999.5
Doctoral degree,Statistician,"1000-9,999 employees",Female,150000,199999,174999.5
Doctoral degree,Data Engineer,"> 10,000 employees",Not Mentioned,150000,199999,174999.5
Doctoral degree,DBA/Database Engineer,"1000-9,999 employees",Male,150000,199999,174999.5
Doctoral degree,Software Engineer,"> 10,000 employees",Male,150000,199999,174999.5
Doctoral degree,Software Engineer,"1000-9,999 employees",Male,150000,199999,174999.5
Doctoral degree,Software Engineer,250-999 employees,Male,150000,199999,174999.5
Doctoral degree,Other,"1000-9,999 employees",Male,150000,199999,174999.5
Doctoral degree,Other,250-999 employees,Male,150000,199999,174999.5
Doctoral degree,Other,50-249 employees,Male,150000,199999,174999.5
Doctoral degree,Other,50-249 employees,Female,150000,199999,174999.5
Doctoral degree,Other,0-49 employees,Male,150000,199999,174999.5
Master's degree,Research Scientist,"> 10,000 employees",Male,150000,199999,174999.5
Master's degree,Research Scientist,"> 10,000 employees",Female,150000,199999,174999.5
Master's degree,Research Scientist,"1000-9,999 employees",Male,150000,199999,174999.5
Master's degree,Research Scientist,50-249 employees,Male,150000,199999,174999.5
Master's degree,Research Scientist,0-49 employees,Male,150000,199999,174999.5
Master's degree,Data Scientist,"> 10,000 employees",Male,150000,199999,174999.5
Master's degree,Data Scientist,"> 10,000 employees",Female,150000,199999,174999.5
Master's degree,Data Scientist,"1000-9,999 employees",Male,150000,199999,174999.5
Master's degree,Data Scientist,"1000-9,999 employees",Female,150000,199999,174999.5
Master's degree,Data Scientist,250-999 employees,Male,150000,199999,174999.5
Master's degree,Data Scientist,50-249 employees,Male,150000,199999,174999.5
Master's degree,Data Scientist,50-249 employees,Female,150000,199999,174999.5
Master's degree,Data Scientist,0-49 employees,Male,150000,199999,174999.5
Master's degree,Product/Project Manager,"> 10,000 employees",Male,150000,199999,174999.5
Master's degree,Product/Project Manager,"1000-9,999 employees",Male,150000,199999,174999.5
Master's degree,Product/Project Manager,50-249 employees,Male,150000,199999,174999.5
Master's degree,Product/Project Manager,0-49 employees,Male,150000,199999,174999.5
Master's degree,Business Analyst,"> 10,000 employees",Male,150000,199999,174999.5
Master's degree,Business Analyst,"> 10,000 employees",Female,150000,199999,174999.5
Master's degree,Business Analyst,0-49 employees,Male,150000,199999,174999.5
Master's degree,Statistician,250-999 employees,Female,150000,199999,174999.5
Master's degree,Data Analyst,"1000-9,999 employees",Female,150000,199999,174999.5
Master's degree,Data Analyst,250-999 employees,Male,150000,199999,174999.5
Master's degree,Data Analyst,0-49 employees,Male,150000,199999,174999.5
Master's degree,Data Engineer,"> 10,000 employees",Male,150000,199999,174999.5
Master's degree,Data Engineer,"> 10,000 employees",Self Describe,150000,199999,174999.5
Master's degree,Data Engineer,"1000-9,999 employees",Male,150000,199999,174999.5
Master's degree,Data Engineer,250-999 employees,Male,150000,199999,174999.5
Master's degree,Data Engineer,250-999 employees,Female,150000,199999,174999.5
Master's degree,Data Engineer,50-249 employees,Male,150000,199999,174999.5
Master's degree,Software Engineer,"> 10,000 employees",Male,150000,199999,174999.5
Master's degree,Software Engineer,"1000-9,999 employees",Male,150000,199999,174999.5
Master's degree,Software Engineer,250-999 employees,Male,150000,199999,174999.5
Master's degree,Software Engineer,50-249 employees,Male,150000,199999,174999.5
Master's degree,Software Engineer,0-49 employees,Male,150000,199999,174999.5
Master's degree,Other,"> 10,000 employees",Male,150000,199999,174999.5
Master's degree,Other,"> 10,000 employees",Female,150000,199999,174999.5
Master's degree,Other,"1000-9,999 employees",Male,150000,199999,174999.5
Master's degree,Other,"1000-9,999 employees",Female,150000,199999,174999.5
Master's degree,Other,250-999 employees,Male,150000,199999,174999.5
Master's degree,Other,50-249 employees,Male,150000,199999,174999.5
Master's degree,Other,0-49 employees,Male,150000,199999,174999.5
Bachelor's degree,Research Scientist,"> 10,000 employees",Not Mentioned,150000,199999,174999.5
Bachelor's degree,Research Scientist,50-249 employees,Male,150000,199999,174999.5
Bachelor's degree,Data Scientist,"> 10,000 employees",Male,150000,199999,174999.5
Bachelor's degree,Data Scientist,"> 10,000 employees",Female,150000,199999,174999.5
Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,150000,199999,174999.5
Bachelor's degree,Data Scientist,"1000-9,999 employees",Female,150000,199999,174999.5
Bachelor's degree,Data Scientist,250-999 employees,Male,150000,199999,174999.5
Bachelor's degree,Data Scientist,50-249 employees,Male,150000,199999,174999.5
Bachelor's degree,Data Scientist,50-249 employees,Female,150000,199999,174999.5
Bachelor's degree,Data Scientist,0-49 employees,Female,150000,199999,174999.5
Bachelor's degree,Data Scientist,0-49 employees,Self Describe,150000,199999,174999.5
Bachelor's degree,Product/Project Manager,"> 10,000 employees",Male,150000,199999,174999.5
Bachelor's degree,Product/Project Manager,"1000-9,999 employees",Female,150000,199999,174999.5
Bachelor's degree,Product/Project Manager,250-999 employees,Male,150000,199999,174999.5
Bachelor's degree,Product/Project Manager,0-49 employees,Male,150000,199999,174999.5
Bachelor's degree,Product/Project Manager,0-49 employees,Female,150000,199999,174999.5
Bachelor's degree,Business Analyst,"1000-9,999 employees",Male,150000,199999,174999.5
Bachelor's degree,Data Analyst,"> 10,000 employees",Male,150000,199999,174999.5
Bachelor's degree,Data Analyst,"1000-9,999 employees",Male,150000,199999,174999.5
Bachelor's degree,Data Analyst,250-999 employees,Male,150000,199999,174999.5
Bachelor's degree,Data Analyst,250-999 employees,Female,150000,199999,174999.5
Bachelor's degree,Data Engineer,"> 10,000 employees",Male,150000,199999,174999.5
Bachelor's degree,Data Engineer,50-249 employees,Male,150000,199999,174999.5
Bachelor's degree,Software Engineer,"> 10,000 employees",Male,150000,199999,174999.5
Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,150000,199999,174999.5
Bachelor's degree,Software Engineer,250-999 employees,Male,150000,199999,174999.5
Bachelor's degree,Software Engineer,50-249 employees,Male,150000,199999,174999.5
Bachelor's degree,Software Engineer,0-49 employees,Male,150000,199999,174999.5
Bachelor's degree,Other,"> 10,000 employees",Male,150000,199999,174999.5
Bachelor's degree,Other,"1000-9,999 employees",Male,150000,199999,174999.5
Bachelor's degree,Other,250-999 employees,Male,150000,199999,174999.5
Bachelor's degree,Other,50-249 employees,Male,150000,199999,174999.5
Bachelor's degree,Other,0-49 employees,Male,150000,199999,174999.5
Professional degree,Research Scientist,"> 10,000 employees",Male,150000,199999,174999.5
Professional degree,Data Scientist,"> 10,000 employees",Male,150000,199999,174999.5
Professional degree,Data Scientist,"1000-9,999 employees",Male,150000,199999,174999.5
Professional degree,Data Engineer,50-249 employees,Male,150000,199999,174999.5
Professional degree,Other,"1000-9,999 employees",Male,150000,199999,174999.5
Some college/university,Data Scientist,50-249 employees,Male,150000,199999,174999.5
Some college/university,Data Scientist,0-49 employees,Male,150000,199999,174999.5
Some college/university,Product/Project Manager,"> 10,000 employees",Male,150000,199999,174999.5
Some college/university,Data Analyst,50-249 employees,Male,150000,199999,174999.5
Some college/university,DBA/Database Engineer,250-999 employees,Male,150000,199999,174999.5
Some college/university,DBA/Database Engineer,0-49 employees,Male,150000,199999,174999.5
Some college/university,Software Engineer,"> 10,000 employees",Male,150000,199999,174999.5
Some college/university,Software Engineer,"1000-9,999 employees",Male,150000,199999,174999.5
Some college/university,Software Engineer,50-249 employees,Male,150000,199999,174999.5
Some college/university,Other,"1000-9,999 employees",Male,150000,199999,174999.5
